cat_num,age_y,sex,f_mxl,f_db,f_msb
963,8.16,M,309.98,70.04,22.36
1047,7.59,M,310,63.93,19.41
835,8.77,M,310.3,61.81,19.34
214,8.12,F,310.8,61.34,20.35
777,9.49,F,310.82,65.45,20.58
1026,10.12,M,310.83,66.45,21.09
667,9.94,M,311.21,64.14,21.25
1334,9.78,M,311.47,67.45,21.11
772,7.69,M,311.54,68.23,21.51
103,9.99,M,311.73,61.62,19.45
696,9.87,M,312.35,76.34,24.46
1046,8.15,M,312.4,65.36,21.15
552,8.08,F,312.42,56.81,17.94
951,9.57,M,312.6,67.13,20.12
624,9.27,M,312.63,71.88,20.79
99,8.65,F,312.65,60.89,20.47
230,8.92,F,312.85,65.92,21.75
94,9.57,M,312.96,69.02,18.81
871,9.62,M,312.97,68.83,22.43
914,8.65,F,313,61.19,18.45
1100,11.14,M,313.09,63.27,19.37
1265,11.00,M,313.27,61.91,19.45
401,9.23,M,313.41,61.29,18.53
1036,10.07,M,313.43,59.63,17.87
497,11.79,F,313.56,62.74,18.7
1372,8.02,F,313.62,60.36,20.29
394,8.11,F,313.73,66.75,19.23
842,11.49,F,313.97,61.71,17.35
1340,9.39,F,314.13,61,18.23
177,8.43,F,314.68,64.04,22.23
1333,6.50,M,314.84,64.89,20.13
454,8.74,M,315.33,63.99,20.4
299,9.86,M,315.52,67.35,22.19
488,9.52,M,315.52,74.49,21.4
789,8.60,F,315.58,63.83,19.09
608,7.44,F,315.6,59,17.87
822,10.52,M,315.7,71.85,21.91
1045,8.90,M,315.72,64.58,20.69
594,9.83,F,315.82,62.89,19.8
807,8.41,M,316.04,66.53,20.55
1082,10.03,F,316.08,62.28,20.82
220,9.86,M,316.75,68.69,20.84
884,8.37,F,316.93,58,18.17
432,10.23,F,317.22,62.99,20.37
975,8.40,M,317.54,65.8,20.72
331,8.48,F,317.85,65.16,21.69
1341,8.02,M,317.96,64.08,20.56
856,7.81,M,318.26,69.42,21.37
1368,11.04,M,318.39,69.04,24.06
528,9.48,M,318.52,65.22,23.92
979,9.35,M,319.03,72.92,24.22
368,10.42,M,319.04,65.87,20.2
588,8.65,F,319.15,57.32,19.76
337,8.73,M,319.37,64.79,20.24
691,9.42,F,319.88,59.7,19.75
1057,10.04,F,320.15,65.41,23.32
196,8.96,F,320.72,64.67,22.83
885,9.71,M,320.92,65.81,20.84
974,10.07,M,321.33,66.99,19.1
674,8.80,F,321.38,62.8,19.13
1087,8.52,M,321.45,64.33,21.95
155,12.13,M,321.57,69.71,22
423,8.04,M,321.62,67.81,20.38
892,7.90,M,321.62,70.77,21.06
185,9.21,F,321.63,66.29,22.5
301,9.24,F,321.99,65.95,21.41
540,12.35,M,322.18,60.6,19.93
936,9.46,M,322.33,65.99,19.32
686,8.58,M,322.52,72.35,22.43
538,11.78,M,322.55,71.4,22.33
823,9.40,M,322.6,66.27,22.71
759,8.09,M,322.8,66.15,20.45
294,11.71,F,322.93,65.27,19.19
1031,8.53,M,323.61,67.39,19.73
140,8.07,M,323.93,63.59,19.65
981,9.83,M,323.94,70.78,20.44
1342,10.28,M,323.95,73.86,22.85
939,10.85,M,324.33,67.71,21.51
775,8.01,F,324.92,65.39,23.51
4,9.09,F,324.96,69.2,21.56
249,9.33,F,324.96,63.63,19.72
1159,9.27,M,326.34,74.98,23.68
485,10.54,F,326.86,66.23,20.72
938,12.49,M,327.08,66.14,19.03
1080,8.08,M,327.29,72.34,23.44
616,10.36,M,327.45,66.62,20.6
1366,10.41,F,327.47,62.11,20.47
843,10.12,M,327.83,71.86,22.99
345,8.78,M,328.4,67.39,19.44
305,7.98,F,328.49,62.47,18.07
27,9.86,M,328.52,66.21,21.08
258,11.58,F,328.89,65.83,20.69
142,9.13,M,329.34,63.69,21.89
108,8.56,M,329.36,72.81,21.28
880,11.44,M,329.36,63.13,18.52
828,8.11,F,329.44,66.76,20.83
713,8.60,F,330.51,63.84,21.42
468,9.05,F,330.77,63.19,18.49
201,10.78,F,330.84,67.23,21.27
845,11.33,M,330.87,67,23.24
612,11.56,M,330.88,69.62,20.83
402,9.33,M,331.06,69.25,21.88
543,10.87,M,331.21,69.4,21.97
888,9.03,M,331.24,63.89,21.09
281,11.11,M,331.3,68.77,20.83
615,10.95,M,331.34,64.91,20.9
89,10.19,M,331.52,81.65,23.03
434,10.22,F,331.99,61.36,19.21
346,10.07,M,332.62,67.7,21.25
984,8.15,F,332.7,60.89,20.61
794,10.33,M,332.9,64.36,20.06
1351,11.10,M,332.91,68.03,19.83
19,12.48,M,332.95,65.62,19.26
441,8.31,F,332.95,69.45,21.41
8,9.73,M,333.15,64.47,19.45
640,9.95,M,333.47,68.93,19.7
428,9.66,M,334.01,68.73,20.68
1317,12.00,M,334.2,72.48,25.31
304,8.95,M,334.21,66.98,19.43
187,8.99,M,334.5,70.17,25.19
126,12.41,M,334.57,64.72,22.21
420,9.03,M,334.62,70.04,21.51
200,10.41,F,335.05,65.06,20.88
389,9.45,F,335.14,63.96,20.21
908,8.70,M,335.2,66.68,22.22
115,11.62,M,335.51,70.98,23.18
271,7.99,M,335.75,67.51,21.23
930,8.88,F,335.9,63.8,19.83
728,9.19,F,336.2,65.51,21.61
641,8.95,M,336.29,78.93,25.86
597,12.16,M,336.6,65.87,22.39
912,11.27,M,336.65,67.54,23.65
512,11.53,M,336.75,70.47,20.82
817,12.26,M,336.98,69.95,24.29
278,9.66,F,337.64,72.62,22.45
1062,11.54,M,337.76,61.45,22.26
816,10.15,F,337.85,59.34,17.71
461,11.26,M,338.51,74.44,23.69
684,9.70,F,338.55,65.01,22.83
30,8.68,F,338.56,63.44,19.79
776,10.19,M,338.68,70.03,22.76
924,9.16,F,339.19,66.89,19.79
447,9.43,F,339.71,68.76,21.41
673,9.71,M,339.79,64.36,19.51
507,10.50,M,340.24,71.23,20.95
466,11.59,F,340.4,64.77,19.45
96,10.42,F,340.96,68.49,21.85
894,9.74,M,340.99,70.85,22.81
293,12.16,M,341.07,69.57,20.33
1121,9.68,M,341.08,71.16,21.81
508,10.09,M,341.1,69.06,23.53
1114,10.72,F,341.1,61.05,20.21
400,9.96,F,341.12,69.65,22.12
941,9.15,M,341.32,69.15,20.94
572,10.93,M,341.37,72.18,22.72
274,10.33,F,341.86,64.76,19.12
119,12.64,M,341.93,65.73,20.11
547,10.12,M,342,73.77,21.49
93,10.32,F,342.03,68.61,20.61
1093,11.06,M,342.44,68.9,22.45
737,10.19,M,342.45,72.7,23.57
297,11.29,F,343.08,66.79,24.28
582,12.66,M,344.58,77.18,24.01
210,11.49,M,344.78,69.84,21.19
653,11.52,F,344.78,66.76,22.03
1008,12.24,F,345.13,60.14,18.28
124,11.17,M,345.58,68.97,21.17
265,10.31,M,345.69,78.13,23.89
1035,11.51,F,345.79,76.12,21.34
600,11.24,F,345.88,66.76,22.18
125,10.24,M,345.96,72.75,24.42
359,9.00,F,346.46,66.51,20.62
748,9.86,M,346.81,73.75,23.81
1355,10.88,M,346.81,68.31,22.45
730,10.32,M,347.02,72.74,22.77
665,10.81,M,347.34,68.18,22.37
146,11.32,M,347.9,70.93,24.63
925,11.05,M,348.22,74.26,22.75
311,9.44,F,348.55,67.15,19.89
470,12.59,M,349.2,72.29,22.33
1061,10.38,M,349.35,66.59,19.52
1069,12.04,M,349.39,75.17,24.02
733,12.59,M,349.63,68.3,21.13
300,10.88,F,349.66,74.96,22.15
133,11.05,M,350.06,67.84,19.54
983,10.18,F,350.4,77.23,27.21
370,9.43,F,350.55,78.17,25.44
906,9.61,F,350.7,66.43,21.31
558,10.57,M,351.08,68.38,21.27
336,10.63,F,351.7,70.16,23.42
1048,10.93,M,351.99,73.16,21.66
890,9.64,M,352.42,66.48,23.63
911,11.11,M,352.63,78.42,25.67
516,9.37,M,352.79,71.6,21.38
